Bulan Pemesanan,Nama Produk,Kontraktor,Kode Produk,Quantity,Contact person
Desember,Lampu Industri 40 Watt,CV. Selaras,LI 40 Watt,40,Bapak Fauzi
Desember,Lampu Industri 60 Watt,CV. Selaras,LI 60 Watt,40,Bapak Fauzi
Desember,Lampu Land Scape 40 Watt,PT. Aditarwan,LLS 40 Watt,230,Bapak Aditya 
Desember,Lampu Heavy Duty 40 Watt,PT. Aditarwan,LHD 40 Watt,150,Bapak Aditya 
Desember,Lampu LED 30 Watt,PT. Aditarwan,Uniled 30 Watt,80,Bapak Aditya 
Desember,Penerangan Jalan Umum 60 Watt,PT. Aditarwan,PJU 60 Watt,50,Bapak Aditya 
Desember,Solar Cell 50 WP,PT. Aditarwan,SC 50 WP,60,Bapak Aditya 
Desember,Penerangan Jalan Umum 60 Watt,CV. Metec,PJU 60 Watt,50,Bapak Rudi
Desember,Lampu Land Scape 40 Watt,CV. Metec,LLS 40 Watt,30,Bapak Rudi
Desember,Lampu Heavy Duty 40 Watt,CV. Metec,LHD 40 Watt,20,Bapak Rudi
Desember,Lampu Industri 40 Watt,CV. Metec,LI 40 Watt,40,Bapak Rudi
